배치번호,설비호기,교대조,소성온도,소성시간,입도,수분율,불순물,성형압력,방전용량,양품여부
B00115,B,day,898.9,150,,0.93,"1,024",25.6,178.9,1
B01337,C,day,835.0,135,14.06,1.33,800,27.5,170.5,1
B01376,F,night,829.3,150,14.77,1.26,871,26.1,172.5,1
B00511,B ,day,855.1,120,12.28,0.89,482,24.0,178.1,1
B00458,C,night,875.7,150,15.38,0.91,791,25.0,180.1,1
B00040,D,day,832.7,135,10.85,1.78,964,22.8,172.5,1
B00455,C,night,885.1,90,,0.97,"1,175",22.9,173.9,1
B00213,E,night,860.1,105,9.39,1.06,894,22.1,176.3,1
B01160,E,night,892.8,120,11.06,1.53,860,24.7,175.5,1
B00546,C,day,847.6,120,N/A,0.97,841,24.3,175.9,1
B00301,a,night,905.5,120,12.7,-,936,24.5,175.1,1
B00716, A,day,868.8,135,12.87,1.01,604,25.8,179.8,1
B00978,a,night,824.0,120,11.1,1.11,"1,438",23.9,167.5,0
B00945,F,day,825.1,105,10.59,2.11,81,23.2,173.4,1
B00789,b,day,857.2,150,13.54,1.28,930,24.6,176.0,1
B01178,A ,night,853.8,150,11.64,1.92,"1,211",23.3,171.1,1
B00304,F,night,838.8,150,10.4,1.1,649,22.9,178.0,1
B00286,A,night,861.2,120,8.41,1.53,180,24.2,180.1,1
B01019,D,day,875.8,105,8.67,0.9,835,29.8,177.5,1
B00814,D,day,835.0,120,9.24,1.15,691,22.7,170.9,1
B00959, C,day,807.1,120,13.46,1.16,284,23.1,159.7,0
B01014,B ,night,815.4,150,9.63,1.1,"1,283",21.5,164.0,0
B00255,D,night,858.4,135,9.93,1.36,761,26.8,178.3,1
B00497,A,day,847.5,150,13.82,1.03,262,24.2,181.1,1
B00864,F,day,849.2,105,11.69,1.53,"1,140",24.5,172.5,1
B00821,C,day,862.2,150,13.41,1.48,588,25.9,174.9,1
B00343, A,day,864.6,90,10.14,1.05,885,25.6,175.3,1
B00198,B,day,861.8,150,-,0.94,970,25.7,177.3,1
B01330,B,night,945.7,135,12.23,0.29,"1,078",24.1,172.5,1
B01011,f,night,873.8,150,9.64,0.75,232,28.6,188.4,1
B01041,C,day,832.3,90,10.76,1.21,558,21.8,172.5,1
